sid,time,lat,lon,umax,press,u24_past,mov_angle,mov_speed,u_st,v_st,ws_200,owz_500,owz_850,rh_700,rh_925,sph_925
1980126N08150,1980-05-11 00:00:00,11.8,131.4,19.5472,995.0,0.0,5.041546821594238,11.50212574005127,-5.919220557579627,4.807703458345854,1.9697755575180054,91.20999908447266,132.0398712158203,75.00001525878906,98.00001525878906,0.01834000274538994
1980126N08150,1980-05-11 06:00:00,12.1,130.29999,19.5472,993.0,0.0,5.1014838218688965,9.79233169555664,-4.769221966083233,2.3538548396183896,2.7803049087524414,124.6298828125,187.20269775390625,88.00001525878906,94.00001525878906,0.01696000061929226
1980126N08150,1980-05-11 12:00:00,12.6,129.20001,24.6912,990.0,5.144001007080078,5.186764717102051,12.198249816894531,-3.215377220740685,5.076930706317608,4.011234283447266,93.7698974609375,146.29010009765625,82.00001525878906,89.00001525878906,0.016670001670718193
1980126N08150,1980-05-11 18:00:00,13.1,128.0,24.6912,988.0,5.144001007080078,5.043184280395508,11.451062202453613,-1.3076823307917669,2.0961644099308896,3.413206100463867,174.60260009765625,142.95989990234375,78.00001525878906,90.00001525878906,0.01655000075697899
1980126N08150,1980-05-12 00:00:00,13.6,127.0,29.835201,985.0,5.144001007080078,5.266170024871826,10.589076042175293,-1.8230696458082933,4.538472102238582,11.673048973083496,193.2222900390625,176.17974853515625,83.00001525878906,82.00001525878906,0.01518000103533268
1980126N08150,1980-05-12 06:00:00,14.2,125.899994,29.835201,980.0,5.144001007080078,5.26736307144165,10.569454193115234,-7.907680218036358,0.2038580087515024,3.5468292236328125,147.51979064941406,170.30238342285156,75.00001525878906,94.00001525878906,0.017390001565217972
1980126N08150,1980-05-12 12:00:00,15.0,124.899994,34.979202,975.0,5.144001007080078,5.40476131439209,11.62808895111084,-5.080758901742788,1.438473628117488,6.926026344299316,215.26004028320312,180.2425537109375,75.00001525878906,89.00001525878906,0.017400000244379044
1980126N08150,1980-05-12 18:00:00,15.8,124.29999,34.979202,972.0,5.144001007080078,5.8348188400268555,8.227925300598145,-1.9538404024564302,2.88847409761869,7.68959903717041,176.48995971679688,247.3826141357422,87.00001525878906,92.00001525878906,0.01640000194311142
1980126N08150,1980-05-13 00:00:00,16.2,124.0,34.979202,965.0,0.0,5.835566520690918,4.112057209014893,-0.3846095158503606,4.807698763333834,9.662821769714355,164.00990295410156,131.34246826171875,79.00001525878906,88.00001525878906,0.016690000891685486
1980126N08150,1980-05-13 06:00:00,16.5,123.70001,39.6088,961.0,4.629596710205078,5.519029140472412,2.567514657974243,-3.7499917837289662,-1.2769159170297475,4.5967488288879395,134.98001098632812,236.1424560546875,62.00001525878906,93.00001525878906,0.017740001901984215
1980126N08150,1980-05-13 12:00:00,16.8,123.399994,44.7528,956.0,9.773597717285156,5.836769104003906,4.109655857086182,-3.415377690241887,-1.3846077552208533,7.000714302062988,98.97994232177734,189.6523895263672,76.00001525878906,92.00001525878906,0.017980001866817474
1980126N08150,1980-05-13 18:00:00,17.2,123.100006,44.7528,960.0,5.144001007080078,5.520967960357666,5.127010822296143,-1.638455317570613,-0.5846047034630408,10.15332317352295,147.3398895263672,166.61013793945312,77.00001525878906,100.00001525878906,0.017820000648498535
1980126N08150,1980-05-14 00:00:00,17.3,122.79999,39.6088,965.0,-5.144001007080078,4.712657451629639,1.7695173025131226,0.6423134436974158,-0.4461482121394231,6.720852375030518,205.50994873046875,209.7125244140625,84.00001525878906,95.00001525878906,0.017900001257658005
1980126N08150,1980-05-14 06:00:00,17.3,122.600006,34.979202,970.0,-9.773597717285156,4.712657451629639,1.7695173025131226,2.3038558959960938,-0.2038398155799279,7.249819278717041,273.60986328125,223.08216857910156,87.00001525878906,93.00001525878906,0.01648000068962574
1980126N08150,1980-05-14 12:00:00,17.5,122.399994,34.979202,980.0,-4.629596710205078,5.521566867828369,2.561370849609375,-0.3884482750525841,0.4576985285832332,6.876770496368408,280.1427001953125,250.59983825683594,92.00001525878906,95.00001525878906,0.01868000254034996
1980126N08150,1980-05-14 18:00:00,17.7,122.5,29.835201,982.0,-5.144001007080078,0.7610659599304199,2.5600247383117676,2.6077035757211537,1.0846240703876202,7.738861560821533,208.80006408691406,221.9802703857422,99.00001525878906,99.00001525878906,0.018640000373125076
1980126N08150,1980-05-15 00:00:00,18.0,122.5,29.835201,985.0,-5.144001007080078,0.0,3.7065114974975586,1.088467524601863,-0.8769108698918269,4.6227803230285645,335.7198791503906,322.792724609375,82.00001525878906,98.00001525878906,0.018460001796483994
1980126N08150,1980-05-15 06:00:00,18.3,122.600006,29.835201,985.0,0.0,0.7593836784362793,2.5558762550354004,1.7038550743689904,-1.4346020038311298,4.243824005126953,292.6226501464844,239.79010009765625,85.00001525878906,99.00001525878906,0.01753000169992447
1980126N08150,1980-05-15 12:00:00,18.6,122.600006,24.6912,990.0,-5.144001007080078,0.0,3.7065114974975586,0.7653931837815505,-0.865378159743089,1.8027840852737427,172.7422637939453,150.14002990722656,82.00001525878906,92.00001525878906,0.0171200018376112
1980126N08150,1980-05-15 18:00:00,19.0,122.70001,24.6912,990.0,-5.144001007080078,0.44153928756713867,4.100337982177734,-0.5346045860877404,-0.7192224355844351,5.021953582763672,-13.047412872314453,137.2400665283203,81.00001525878906,98.00001525878906,0.017350001260638237
1980126N08150,1980-05-16 00:00:00,19.5,122.899994,24.6912,980.0,0.0,0.3044419288635254,5.828245639801025,1.3192426241361177,0.14231755183293268,2.213603973388672,75.27011108398438,124.94251251220703,74.00001525878906,88.00001525878906,0.01648000068962574
