--- Running on: cuda ---
Loading Data...
Features: 15, Target: 4
Model has 7,379,204 trainable parameters
Start Training...
Ep 92 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 93 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 94 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 95 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 96 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 97 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 98 | Time: 0m1s | T: 0.000970 | V: 0.000813
Ep 99 | Time: 0m1s | T: 0.000979 | V: 0.000814
Ep 100 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 101 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 102 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 103 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 104 | Time: 0m1s | T: 0.000976 | V: 0.000814
Ep 105 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 106 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 107 | Time: 0m1s | T: 0.000992 | V: 0.000814
Ep 108 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 109 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 110 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 111 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 112 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 113 | Time: 0m1s | T: 0.000973 | V: 0.000813
Ep 114 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 115 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 116 | Time: 0m1s | T: 0.000980 | V: 0.000814
Ep 117 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 118 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 119 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 120 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 121 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 122 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 123 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 124 | Time: 0m1s | T: 0.000991 | V: 0.000814
Ep 125 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 126 | Time: 0m1s | T: 0.000965 | V: 0.000814
Ep 127 | Time: 0m1s | T: 0.000991 | V: 0.000813
Ep 128 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 129 | Time: 0m1s | T: 0.000975 | V: 0.000813
Ep 130 | Time: 0m1s | T: 0.000966 | V: 0.000814
Ep 131 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 132 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 133 | Time: 0m1s | T: 0.000976 | V: 0.000814
Ep 134 | Time: 0m1s | T: 0.000964 | V: 0.000814
Ep 135 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 136 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 137 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 138 | Time: 0m1s | T: 0.000966 | V: 0.000813
Ep 139 | Time: 0m1s | T: 0.000987 | V: 0.000813
Ep 140 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 141 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 142 | Time: 0m1s | T: 0.000968 | V: 0.000813
Ep 143 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 144 | Time: 0m1s | T: 0.000973 | V: 0.000815
Ep 145 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 146 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 147 | Time: 0m1s | T: 0.000973 | V: 0.000813
Ep 148 | Time: 0m1s | T: 0.000975 | V: 0.000813
Ep 149 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 150 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 151 | Time: 0m1s | T: 0.000967 | V: 0.000813
Ep 152 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 153 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 154 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 155 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 156 | Time: 0m1s | T: 0.000980 | V: 0.000813
Ep 157 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 158 | Time: 0m1s | T: 0.000972 | V: 0.000813
Ep 159 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 160 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 161 | Time: 0m1s | T: 0.000966 | V: 0.000814
Ep 162 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 163 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 164 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 165 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 166 | Time: 0m1s | T: 0.000970 | V: 0.000813
Ep 167 | Time: 0m1s | T: 0.000975 | V: 0.000812
Ep 168 | Time: 0m1s | T: 0.000976 | V: 0.000814
Ep 169 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 170 | Time: 0m1s | T: 0.000967 | V: 0.000813
Ep 171 | Time: 0m1s | T: 0.000970 | V: 0.000813
Ep 172 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 173 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 174 | Time: 0m1s | T: 0.000967 | V: 0.000813
Ep 175 | Time: 0m1s | T: 0.000968 | V: 0.000813
Ep 176 | Time: 0m1s | T: 0.000974 | V: 0.000812
Ep 177 | Time: 0m1s | T: 0.000968 | V: 0.000813
Ep 178 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 179 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 180 | Time: 0m1s | T: 0.000977 | V: 0.000813
Ep 181 | Time: 0m1s | T: 0.000966 | V: 0.000813
Ep 182 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 183 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 184 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 185 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 186 | Time: 0m1s | T: 0.000973 | V: 0.000813
Ep 187 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 188 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 189 | Time: 0m1s | T: 0.000966 | V: 0.000813
Ep 190 | Time: 0m1s | T: 0.000964 | V: 0.000813
Ep 191 | Time: 0m1s | T: 0.000977 | V: 0.000813
Ep 192 | Time: 0m1s | T: 0.000975 | V: 0.000813
Ep 193 | Time: 0m1s | T: 0.000969 | V: 0.000813
Ep 194 | Time: 0m1s | T: 0.000968 | V: 0.000813
Ep 195 | Time: 0m1s | T: 0.000966 | V: 0.000813
Ep 196 | Time: 0m1s | T: 0.000982 | V: 0.000813
Ep 197 | Time: 0m1s | T: 0.000973 | V: 0.000813
Ep 198 | Time: 0m1s | T: 0.000974 | V: 0.000814
Ep 199 | Time: 0m1s | T: 0.000971 | V: 0.000813
Ep 200 | Time: 0m1s | T: 0.000973 | V: 0.000814
   [Plot] Saved loss chart to ./checkpoint/loss_chart.png
Done.
